,band,ccdVisitId,coord_ra,coord_dec,objectId,psfFlux,psfFluxErr,psfMag,ccdVisitId2,band2,expMidptMJD,zeroPoint
5193,r,199651038,53.9046137,-37.3252014,1566258711813454641,255157.051374,539.83974,17.882981063131425,199651038,r,59849.2730182,32.1601
5194,r,638785013,53.9046137,-37.3252014,1566258711813454641,253080.6011673,536.0634413,17.89185285647292,638785013,r,60531.3130702,32.1636
5195,u,200936064,53.9046137,-37.3252014,1566258711813454641,29685.7386883,423.6328615,20.21863034947399,200936064,u,59851.3010962,30.4759
5196,u,200935033,53.9046137,-37.3252014,1566258711813454641,30640.8777525,429.544667,20.184246994660665,200935033,u,59851.3006092,30.4735
5197,r,212119081,53.9046137,-37.3252014,1566258711813454641,254083.4601775,545.3050053,17.88755901218159,212119081,r,59867.2394062,32.1766
5198,z,1174354032,53.9046137,-37.3252014,1566258711813454641,340216.7398604,1036.8675058,17.570610803453675,1174354032,z,61306.2075772,31.4513
5199,z,1174377016,53.9046137,-37.3252014,1566258711813454641,338115.6047337,997.0864134,17.57733696296026,1174377016,z,61306.2182622,31.4571
5200,z,748976120,53.9046137,-37.3252014,1566258711813454641,338777.4167122,978.7706039,17.575213869851016,748976120,z,60686.1629252,31.4643
5201,z,187502092,53.9046137,-37.3252014,1566258711813454641,342695.440119,946.1541432,17.562729185557455,187502092,z,59827.2647112,31.4616
5202,z,426665066,53.9046137,-37.3252014,1566258711813454641,341012.6385118,992.123777,17.568073812531804,426665066,z,60185.3789072,31.4595
5203,z,707642042,53.9046137,-37.3252014,1566258711813454641,339837.8467443,992.3445965,17.571820641677114,707642042,z,60625.0595462,31.4566
5204,z,426672039,53.9046137,-37.3252014,1566258711813454641,340270.3526475,989.4442801,17.570439722048153,426672039,z,60185.3820682,31.4585
5205,z,1197651100,53.9046137,-37.3252014,1566258711813454641,339160.969858,944.0366033,17.573985328763726,1197651100,z,61334.1441042,31.4625
5206,z,1200120169,53.9046137,-37.3252014,1566258711813454641,338765.0876346,1027.2172709,17.575253383610928,1200120169,z,61338.1713252,31.4625
5207,z,903804026,53.9046137,-37.3252014,1566258711813454641,338343.2614475,946.8869231,17.576606171605107,903804026,z,60898.4135652,31.4641
5208,z,187503075,53.9046137,-37.3252014,1566258711813454641,339063.3645698,935.5730898,17.574297831841324,187503075,z,59827.2651582,31.4626
5209,z,903761033,53.9046137,-37.3252014,1566258711813454641,340614.3113629,951.9098059,17.569342771325786,903761033,z,60898.3929732,31.4624
5210,z,903803012,53.9046137,-37.3252014,1566258711813454641,337762.4595212,946.1662859,17.578471553940258,903803012,z,60898.4131162,31.4645
5211,z,690862081,53.9046137,-37.3252014,1566258711813454641,338782.662407,980.3418922,17.575197058232565,690862081,z,60601.2575702,31.4621
5212,z,187556051,53.9046137,-37.3252014,1566258711813454641,340741.1362499,926.7709171,17.568938581784032,187556051,z,59827.2926972,31.462
5213,z,748975180,53.9046137,-37.3252014,1566258711813454641,339463.4592819,991.4720618,17.57301741860095,748975180,z,60686.1624762,31.4603
5214,z,13288085,53.9046137,-37.3252014,1566258711813454641,339252.3415218,1157.8367634,17.573692865386572,13288085,z,59598.1194412,31.4377
5215,z,427019113,53.9046137,-37.3252014,1566258711813454641,339446.5288248,1087.1105851,17.573071570139632,427019113,z,60187.3206222,31.454
5216,z,427028124,53.9046137,-37.3252014,1566258711813454641,338468.6038466,1063.5418808,17.576204025043474,427028124,z,60187.3246992,31.4581
5217,z,408941068,53.9046137,-37.3252014,1566258711813454641,341098.2093083,995.2750777,17.567801401346394,408941068,z,60160.3545462,31.4609
5218,z,427069077,53.9046137,-37.3252014,1566258711813454641,341563.8142579,1085.495247,17.56632036325776,427069077,z,60187.3449762,31.4539
5219,z,243018001,53.9046137,-37.3252014,1566258711813454641,339710.6628655,947.0396955,17.572227053115107,243018001,z,59915.0570102,31.4605
5220,z,769218129,53.9046137,-37.3252014,1566258711813454641,340926.0434048,918.9403856,17.568349554166126,769218129,z,60714.0502702,31.4656
5221,z,426970071,53.9046137,-37.3252014,1566258711813454641,339588.8775781,1108.6101208,17.57261635618181,426970071,z,60187.2966502,31.4542
5222,z,707663067,53.9046137,-37.3252014,1566258711813454641,342272.4272658,999.2154866,17.564070213217448,707663067,z,60625.0692002,31.4569
5223,z,460130010,53.9046137,-37.3252014,1566258711813454641,341780.5061697,1025.5478671,17.56563177844108,460130010,z,60244.2461942,31.4607
5224,z,460182187,53.9046137,-37.3252014,1566258711813454641,342578.7363233,998.7526806,17.56309899239333,460182187,z,60244.2723302,31.463
5225,z,460131136,53.9046137,-37.3252014,1566258711813454641,341151.1051386,1022.6600367,17.567633043776993,460131136,z,60244.2466572,31.4607
5226,y,1214721125,53.9046137,-37.3252014,1566258711813454641,359484.8664584,1739.9417793,17.510798469405447,1214721125,y,61368.1515602,30.6343
5227,y,1011431115,53.9046137,-37.3252014,1566258711813454641,358684.4377945,1814.7697263,17.513218664015334,1011431115,y,61073.1304122,30.629
5228,y,282444048,53.9046137,-37.3252014,1566258711813454641,356310.4888624,1656.984134,17.520428482376644,282444048,y,59978.1108802,30.6351
5229,y,647555007,53.9046137,-37.3252014,1566258711813454641,356853.8187551,1902.833713,17.51877412855253,647555007,y,60541.3116772,30.6261
5230,y,647575123,53.9046137,-37.3252014,1566258711813454641,355715.6234482,1840.9062338,17.522242649178274,647575123,y,60541.3206522,30.627
5231,y,647552144,53.9046137,-37.3252014,1566258711813454641,359788.8570762,1913.0523261,17.50988072799907,647552144,y,60541.3103342,30.6257
5232,y,1162438078,53.9046137,-37.3252014,1566258711813454641,363878.3916186,1701.9338753,17.49760933396268,1162438078,y,61279.2989232,30.6345
5233,y,792813088,53.9046137,-37.3252014,1566258711813454641,355740.8722575,1822.1186571,17.52216558600839,792813088,y,60749.0299862,30.6309
5234,y,535882039,53.9046137,-37.3252014,1566258711813454641,360417.8252223,1843.4798326,17.50798434553483,535882039,y,60366.0417252,30.6267
5235,y,206120014,53.9046137,-37.3252014,1566258711813454641,355386.5212817,1683.3435073,17.523247619182634,206120014,y,59859.2014712,30.6322
5236,y,528745083,53.9046137,-37.3252014,1566258711813454641,356637.9181618,1617.0871949,17.519431210017665,528745083,y,60356.0406772,30.6328
5237,y,651601014,53.9046137,-37.3252014,1566258711813454641,359257.7614401,1766.0477107,17.51148460137894,651601014,y,60546.2763692,30.6282
5238,y,458302006,53.9046137,-37.3252014,1566258711813454641,361011.5478613,1662.4142296,17.50619726468026,458302006,y,60242.1296562,30.6343
